fold,model,calibration,success,rank_violations,calibrated_ties,spearman_raw_calibrated,intercept,coef,a,b_raw,n_thresholds,theta,alpha,beta_inner,b,nll_fit,aic,bic,lambda_left,lambda_right,selection_logloss,method,lambda1,lambda0,penalty,outer_penalty,status,message,n_iter,objective,gradient_norm,boundary_hit,selected_penalty
3,lightgbm,nested_selected,True,0,596,0.9999999999999999,,,7.3099551957796045,,,0.38323194435910163,,,2.6106929335267983,,,,,,0.10390495286141961,monotone_opbgb_symmetric,0.24601726596826942,0.24601726596826942,0.0,1e-06,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,76.0,0.09797507651343491,5.043890062609721e-05,False,0.0
3,xgboost,raw,True,0,647,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,xgboost,platt,True,0,647,1.0,0.2776709138535878,1.1934520886455395,,,,,,,,,,,,,,,,,,,,,,,,,
3,xgboost,beta,True,0,647,1.0,0.9238221423212655,,1.3884609046197587,-0.489525258729844,,,,,,,,,,,,,,,,,,,,,,,
3,xgboost,isotonic,True,0,49897,0.9944793907264687,,,,,78.0,,,,,,,,,,,,,,,,,,,,,,
3,xgboost,bgb,True,0,647,1.0,,,1.6199572181139705,,,0.8117279626538804,0.8361856721500418,1.5788330975100802,0.30798277397598495,1815.598447117346,3641.196894234692,3680.714331997373,,,,,,,,,,,,,,,
3,xgboost,opbgb_symmetric,True,0,647,1.0,,,,,,,,,,,,,0.35,0.35,0.10305667812095717,,,,,,,,,,,,
3,xgboost,opbgb_two_sided_unconstrained,True,0,647,1.0,,,,,,,,,,,,,0.35,0.35,0.10305667812095717,,,,,,,,,,,,
3,xgboost,opbgb_symmetric_monotone,True,0,647,1.0,,,1.2396787903140662,,,0.5293169360322458,,,0.48878430347567026,,,,,,0.10310967480506888,monotone_opbgb_symmetric,0.9999703698411706,0.9999703698411706,0.1,1e-06,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,18.0,0.09654339514638303,3.439214009549055e-07,False,0.1
3,xgboost,opbgb_two_sided_monotone,True,0,647,1.0,,,1.239647815495196,,,0.5293013578233127,,,0.488780850082825,,,,,,0.1031096726695388,monotone_opbgb_two_sided,0.9999915771232207,0.9999787106897169,0.1,1e-06,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,22.0,0.09654339518347803,3.0532150889280767e-07,False,0.1
3,xgboost,nested_selected,True,0,647,1.0,,,1.239647815495196,,,0.5293013578233127,,,0.488780850082825,,,,,,0.1031096726695388,monotone_opbgb_two_sided,0.9999915771232207,0.9999787106897169,0.1,1e-06,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,22.0,0.09654339518347803,3.0532150889280767e-07,False,0.1
4,logistic,raw,True,0,900,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,logistic,platt,True,0,900,0.9999999999999999,-3.4471661803392877,0.6936484110247665,,,,,,,,,,,,,,,,,,,,,,,,,
4,logistic,beta,True,0,977,0.9999992766576173,-1.4516393319933931,,2.7997083703101664,-0.13830515898066986,,,,,,,,,,,,,,,,,,,,,,,
4,logistic,isotonic,True,0,49882,0.9936564563090606,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,
4,logistic,bgb,True,0,937,0.999999705219848,,,6.808187403283693,,,-0.4271027366708084,0.15813198720684765,0.9706475549364709,0.0002739932563950069,2221.485622085678,4452.971244171356,4492.488681934037,,,,,,,,,,,,,,,
4,logistic,opbgb_symmetric,True,73,954,0.9981848955982607,,,,,,,,,,,,,0.2,0.2,0.11725926345055204,,,,,,,,,,,,
4,logistic,opbgb_two_sided_unconstrained,True,91,936,0.9998018100541461,,,,,,,,,,,,,0.2,0.35,0.11676843550746725,,,,,,,,,,,,
4,logistic,opbgb_symmetric_monotone,True,0,900,0.9999999999999999,,,1.264367724936425,,,-2.468085995147637,,,0.16910219972971083,,,,,,0.1342318003954461,monotone_opbgb_symmetric,0.5206080564853451,0.5206080564853451,0.001,1e-06,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,13.0,0.12778819254405263,0.013191717945109515,False,0.001
4,logistic,opbgb_two_sided_monotone,True,0,969,0.9999993577364016,,,1.7563115973472105,,,-1.5142547751630508,,,0.1353352832366127,,,,,,0.13577486742474418,monotone_opbgb_two_sided,1.4408596581325324,0.5070234108861403,0.001,1e-06,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,22.0,0.12080020317223296,0.0029721377103136782,True,0.001
4,logistic,nested_selected,True,0,937,0.999999705219848,,,6.808187403283693,,,-0.4271027366708084,0.15813198720684765,0.9706475549364709,0.0002739932563950069,2221.485622085678,4452.971244171356,4492.488681934037,,,,,,,,,,,,,,,
4,lightgbm,raw,True,0,1386,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,lightgbm,platt,True,0,1386,0.9999999999999999,-3.177272779934195,1.2055891945919548,,,,,,,,,,,,,,,,,,,,,,,,,
4,lightgbm,beta,True,0,1386,0.9999999999999999,-3.372070732976043,,1.0716872777089481,-1.2921170620764113,,,,,,,,,,,,,,,,,,,,,,,
4,lightgbm,isotonic,True,0,49847,0.9917786380246821,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,
4,lightgbm,bgb,True,0,1386,0.9999999999999999,,,1.2569667491754362,,,-3.6613719824059623,0.7798782182099719,0.6321284383751506,2.143560077000705,1602.789537994611,3215.579075989222,3255.096513751903,,,,,,,,,,,,,,,
4,lightgbm,opbgb_symmetric,True,0,1620,0.9999999447051077,,,,,,,,,,,,,4.0,4.0,0.0910656265678779,,,,,,,,,,,,
4,lightgbm,opbgb_two_sided_unconstrained,True,0,1619,0.9999999447051319,,,,,,,,,,,,,2.85,4.0,0.09104169420740334,,,,,,,,,,,,
