fold,model,calibration,success,intercept,coef,a,b_raw,n_thresholds,theta,alpha,beta_inner,b,nll_fit,aic,bic,lambda_left,lambda_right,selection_logloss
3,logistic,opbgb_two_sided,True,,,,,,,,,,,,,0.2,0.5,0.12177761800709372
3,logistic,nested_selected,True,,,,,,,,,,,,,0.2,0.5,0.12177761800709372
3,lightgbm,raw,True,,,,,,,,,,,,,,,
3,lightgbm,platt,True,-2.951186242806407,1.3005026873605319,,,,,,,,,,,,,
3,lightgbm,beta,True,-2.7121398350639776,,1.476409094633273,-1.190670593704843,,,,,,,,,,,
3,lightgbm,isotonic,True,,,,,94.0,,,,,,,,,,
3,lightgbm,bgb,True,,,3.3401712171312696,,,-1.9783580650090518,0.4698963606462317,0.7317570815326648,1.3657944148403702,1855.7517767555973,3721.5035535111947,3761.0209912738756,,,
3,lightgbm,opbgb_symmetric,True,,,,,,,,,,,,,0.35,0.35,0.10391283142006986
3,lightgbm,opbgb_two_sided,True,,,,,,,,,,,,,5.5,1.0,0.10381006470355257
3,lightgbm,nested_selected,True,,,,,,,,,,,,,5.5,1.0,0.10381006470355257
3,xgboost,raw,True,,,,,,,,,,,,,,,
3,xgboost,platt,True,0.2776709138535878,1.1934520886455395,,,,,,,,,,,,,
3,xgboost,beta,True,0.9238221423212655,,1.3884609046197587,-0.489525258729844,,,,,,,,,,,
3,xgboost,isotonic,True,,,,,78.0,,,,,,,,,,
3,xgboost,bgb,True,,,1.6199572181139705,,,0.8117279626538804,0.8361856721500418,1.5788330975100802,0.30798277397598495,1815.598447117346,3641.196894234692,3680.714331997373,,,
3,xgboost,opbgb_symmetric,True,,,,,,,,,,,,,0.35,0.35,0.10305667812095717
3,xgboost,opbgb_two_sided,True,,,,,,,,,,,,,0.35,0.35,0.10305667812095717
3,xgboost,nested_selected,True,,,,,,,,,,,,,0.35,0.35,0.10305667812095717
4,logistic,raw,True,,,,,,,,,,,,,,,
4,logistic,platt,True,-3.4471661803392877,0.6936484110247665,,,,,,,,,,,,,
4,logistic,beta,True,-1.4516393319933931,,2.7997083703101664,-0.13830515898066986,,,,,,,,,,,
4,logistic,isotonic,True,,,,,64.0,,,,,,,,,,
4,logistic,bgb,True,,,6.808187403283693,,,-0.4271027366708084,0.15813198720684765,0.9706475549364709,0.0002739932563950069,2221.485622085678,4452.971244171356,4492.488681934037,,,
4,logistic,opbgb_symmetric,True,,,,,,,,,,,,,0.2,0.2,0.11725926345055204
4,logistic,opbgb_two_sided,True,,,,,,,,,,,,,0.2,0.35,0.11676843550746725
4,logistic,nested_selected,True,,,,,,,,,,,,,0.2,0.35,0.11676843550746725
4,lightgbm,raw,True,,,,,,,,,,,,,,,
4,lightgbm,platt,True,-3.177272779934195,1.2055891945919548,,,,,,,,,,,,,
4,lightgbm,beta,True,-3.372070732976043,,1.0716872777089481,-1.2921170620764113,,,,,,,,,,,
4,lightgbm,isotonic,True,,,,,72.0,,,,,,,,,,
4,lightgbm,bgb,True,,,1.2569667491754362,,,-3.6613719824059623,0.7798782182099719,0.6321284383751506,2.143560077000705,1602.789537994611,3215.579075989222,3255.096513751903,,,
4,lightgbm,opbgb_symmetric,True,,,,,,,,,,,,,4.0,4.0,0.0910656265678779
4,lightgbm,opbgb_two_sided,True,,,,,,,,,,,,,2.85,4.0,0.09104169420740334
4,lightgbm,nested_selected,True,,,,,,,,,,,,,2.85,4.0,0.09104169420740334
4,xgboost,raw,True,,,,,,,,,,,,,,,
4,xgboost,platt,True,-0.3361667280868326,1.1176237297780576,,,,,,,,,,,,,
4,xgboost,beta,True,-0.3948479196669824,,1.1002803203435039,-1.1834310573881606,,,,,,,,,,,
4,xgboost,isotonic,True,,,,,70.0,,,,,,,,,,
4,xgboost,bgb,True,,,0.24850461692544665,,,0.048252556003578535,4.88674660062607,0.8835529341069569,1.4785616070282621,1563.7842647919038,3137.5685295838075,3177.0859673464884,,,
4,xgboost,opbgb_symmetric,True,,,,,,,,,,,,,0.5,0.5,0.08806253468149357
4,xgboost,opbgb_two_sided,True,,,,,,,,,,,,,0.35,0.25,0.08770270838131698
4,xgboost,nested_selected,True,,,,,,,,,,,,,0.35,0.25,0.08770270838131698
