model,calibration,metric,n_units,unit,mean,sd,median,q1,q3,min,max,resampling_interval_low,resampling_interval_high,resamples_enumerated,interval_interpretation
lightgbm,opbgb_two_sided_unconstrained,ici,4,temporal fold,0.0067707819798600005,0.002755127661949761,0.0059044080631099,0.00497016957460715,0.0077050204683627495,0.0045994410053477,0.0106748707878725,0.004846593384854,0.00927958953199445,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_two_sided_unconstrained,cal_intercept,4,temporal fold,-0.19747330193213822,0.40536935198375496,-0.07189003225654535,-0.3495928005715927,0.08022946638290915,-0.765308481444863,0.1191953382294008,-0.5571711504751276,0.09321809033173971,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_two_sided_unconstrained,cal_slope,4,temporal fold,0.927766282772237,0.0780730542294719,0.9438464087080589,0.8912163693370078,0.9803963221432882,0.8238482907170213,0.9995240229558094,0.8613913235058779,0.9867722224141287,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,opbgb_two_sided_unconstrained,oe_ratio,4,temporal fold,0.9824062421643913,0.14740614086244613,1.033060704267103,0.9292203222384037,1.0862466241930906,0.7744958843378416,1.0890076757855178,0.8522034816689515,1.0871669747238997,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,platt,brier,4,temporal fold,0.0239982253778317,0.0013566179024604797,0.0240480111848894,0.023386441846021323,0.024659794716699775,0.0223166775181607,0.0255802016233873,0.022825756242238173,0.025120908706367524,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,platt,logloss,4,temporal fold,0.09773857002159415,0.0043084654424965525,0.09759627394687914,0.09606246390271306,0.09927238006576025,0.0926221576624716,0.1031395745301467,0.09396244705792822,0.10165698905997508,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,platt,ece,4,temporal fold,0.006172043292035474,0.0028095489087769294,0.0050431164070544,0.00452671410796845,0.006688445591121425,0.0042840646679163,0.0103178756861168,0.004445830961284401,0.008890306078250724,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,platt,ici,4,temporal fold,0.0067786166715196996,0.002889017759388493,0.0054904901599974,0.005300174694173925,0.006968932137343175,0.005035126698516,0.011098359667568,0.0051744590973707245,0.009670900757190974,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,platt,cal_intercept,4,temporal fold,-0.2108429513968589,0.4366966373892965,-0.0945566970001944,-0.40241898458199277,0.09701933618493948,-0.8055825053571282,0.1513240937700814,-0.5844574414370398,0.11512092204665346,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,platt,cal_slope,4,temporal fold,0.9260955136383311,0.08651991579004623,0.939046561444146,0.8795791345231152,0.9855629405593619,0.8160526992135148,1.0102362324515175,0.8563741518922968,0.9937873711900804,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,platt,oe_ratio,4,temporal fold,0.9810345996460375,0.15015250014071846,1.0309731589164222,0.9230058232637965,1.089001935298663,0.7712944831816219,1.0908975975696835,0.8505633743549639,1.0896338227223366,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,raw,brier,4,temporal fold,0.09572383515859557,0.005775182597017762,0.0950982799560313,0.09094564682371126,0.09987646829091562,0.0906124830705192,0.1020862976518005,0.0908345922393139,0.10061307807787725,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,raw,logloss,4,temporal fold,0.3305914082115905,0.014217039186348061,0.3292246022914044,0.3193500247379297,0.34046598576506515,0.3172953467610359,0.3466210815025176,0.3186651320789651,0.342517684344216,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,raw,ece,4,temporal fold,0.21707692940065282,0.009027282230739507,0.21637592771756303,0.2104868522266182,0.22296600489159765,0.2079973969502724,0.2275584652172127,0.2096570338011696,0.224496825000136,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,raw,ici,4,temporal fold,0.2170818535236672,0.009024442816727454,0.21637835433684993,0.2104915355792508,0.22296867228126635,0.2080091624626587,0.2275615429583102,0.20966407787372007,0.2244996291736143,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,raw,cal_intercept,4,temporal fold,-2.9947959837086833,0.16851887780505864,-2.9782669494333085,-3.071068626238781,-2.9019943069032106,-3.211137909309368,-2.811512126658747,-3.1413921903948676,-2.8647288112978737,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,raw,cal_slope,4,temporal fold,1.1374873272273955,0.05412401540106626,1.15709690468602,1.1225818453012948,1.172002386612121,1.0591748142736848,1.1765806852638576,1.087000182470649,1.1735284861626998,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
lightgbm,raw,oe_ratio,4,temporal fold,0.14338711325809858,0.018176578105860146,0.14567817303914382,0.13863014474907542,0.15043514154816695,0.119077821146602,0.1631142858075047,0.12586055589204842,0.1586226108431035,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
logistic,beta,brier,4,temporal fold,0.03208214915944898,0.0014773720144542308,0.03200806200832035,0.031107297570707574,0.03298291359706175,0.0304887466362475,0.0338237259849077,0.030901113925887548,0.0332631843930104,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
logistic,beta,logloss,4,temporal fold,0.134498741482249,0.010458934836650995,0.1315862322932915,0.12728534235287775,0.13879963142266272,0.1259063107781614,0.1489161905642516,0.12682566516130564,0.14362339780930117,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
logistic,beta,ece,4,temporal fold,0.0093037545687162,0.0038816522322144176,0.00833534786955635,0.00652796875873695,0.0111111336795356,0.0060252508991433,0.0145190716366088,0.0063603961388724005,0.012563189072106976,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
logistic,beta,ici,4,temporal fold,0.010717617831488148,0.0037156735051332083,0.009755384697173249,0.0078543451360842,0.0126186573925772,0.0077604616551678,0.0155992402764383,0.0078230506424454,0.013670840114759476,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
logistic,beta,cal_intercept,4,temporal fold,-0.35516463466818504,1.2136326469126482,3.541045729929873e-05,-0.5445855068526342,0.18945628264174838,-2.1091098160431647,0.688380456455826,-1.576045305856443,0.5105159913945885,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
logistic,beta,cal_slope,4,temporal fold,0.9055064684764129,0.36470433826246773,0.981588121591664,0.8065642383010365,1.0805303517670406,0.3976399935602784,1.2612096371620458,0.5533059759957185,1.1816253078418566,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
logistic,beta,oe_ratio,4,temporal fold,0.9476575298715972,0.18999584785778953,0.993463555470632,0.8991830410270596,1.0419380443151696,0.6793425502816635,1.1243604582634614,0.763122889294349,1.0863861448498107,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
logistic,bgb,brier,4,temporal fold,0.03153701670412873,0.0011552766073331072,0.0313031319904687,0.030817244528441673,0.03202290416615575,0.0304434770396492,0.0330983257959283,0.03069265536551085,0.03255920276978935,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
logistic,bgb,logloss,4,temporal fold,0.1269621756023275,0.00436868594792525,0.12624896470204464,0.1242824218820806,0.12892871842229153,0.1226135733283126,0.1327371996769081,0.1237261390308246,0.13076257594101523,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
logistic,bgb,ece,4,temporal fold,0.00779014852565025,0.00416052805791243,0.00699765797361275,0.00571755762615095,0.00907024887311205,0.0036469603461182,0.0135183178092573,0.004632110066521225,0.011740677536816777,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
logistic,bgb,ici,4,temporal fold,0.008948252738845575,0.0037293389245742965,0.00772347910528505,0.0068649726887011,0.009806759155429525,0.0059846479205905,0.0143614048242217,0.006560621923567574,0.0125606571876841,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
logistic,bgb,cal_intercept,4,temporal fold,-0.140681829526479,0.7091676303133596,0.03721265689198605,-0.2975479017827794,0.19407872914828644,-1.1483152376983787,0.5111626058084905,-0.8391404023750628,0.37988225690363964,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
logistic,bgb,cal_slope,4,temporal fold,0.9716959937024967,0.19814414059052896,0.9901734056210083,0.9115766271676281,1.050292772155877,0.7122600666109081,1.194177096957062,0.7847778825970515,1.14013669288943,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
logistic,bgb,oe_ratio,4,temporal fold,0.960913187283741,0.18881228159283286,1.0060219128154788,0.9111395647604903,1.0557955353387294,0.6946966714613744,1.1369122520426318,0.7782116610387213,1.0985059879970227,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
logistic,isotonic,brier,4,temporal fold,0.03178233305954495,0.001161048704872899,0.03164380786928695,0.03105225333312575,0.03237388759570615,0.0305811304242944,0.0332605860753115,0.0308952123635153,0.03274776313216768,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
logistic,isotonic,logloss,4,temporal fold,0.12846453844204425,0.003320013988892501,0.127248587940689,0.12667591332271455,0.1290372130600187,0.1260126482731635,0.1333483296136355,0.1264095297570759,0.13173549762836786,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
logistic,isotonic,ece,4,temporal fold,0.007759081439028875,0.005085644961295883,0.00675957935205945,0.0056241629299401,0.008894497861148225,0.0026945563970277,0.0148226106549689,0.0037505323635727747,0.0127671326014544,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
logistic,isotonic,ici,4,temporal fold,0.00962444636609565,0.003930057931836964,0.008120548669728899,0.007607403150599875,0.010137591885224674,0.0068176398385135,0.0154390482864113,0.007205839816759076,0.013546950611798975,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
