dataset,model,metric,n_units,unit,mean,sd,median,q1,q3,min,max,resampling_interval_low,resampling_interval_high,resamples_enumerated,interval_interpretation
IEEE-CIS temporal,lightgbm,roc_auc,4,temporal fold,0.8971236494735298,0.008758461733405817,0.8964478563615217,0.889933477678402,0.9036380281566497,0.8891319792465067,0.9064669059245696,0.8896663115344369,0.9045809874126229,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
IEEE-CIS temporal,lightgbm,brier,4,temporal fold,0.022720591187442997,0.0012911925721124041,0.02308431241325975,0.02218209452275055,0.0236228090779522,0.0209438599562885,0.023769879966964,0.021601341329286775,0.023671832707622797,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
IEEE-CIS temporal,lightgbm,logloss,4,temporal fold,0.09397312235560529,0.004081405337869748,0.0948214729106836,0.09189181328760242,0.09690278197868647,0.088636443286924,0.09761310031413,0.09064383476524432,0.09713955475716765,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
IEEE-CIS temporal,lightgbm,precision_0.005,4,temporal fold,0.924,0.050066622281382894,0.9339999999999999,0.904,0.954,0.856,0.972,0.8789999999999999,0.96,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
IEEE-CIS temporal,lightgbm,recall_0.005,4,temporal fold,0.13447623498030678,0.015594116410978546,0.12751983771851322,0.12646693966968695,0.13552913302913303,0.1250730566919929,0.1577922077922078,0.12583181954602168,0.15007704767638544,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
IEEE-CIS temporal,lightgbm,value_capture_0.005,4,temporal fold,0.07369181367347845,0.015058842760493976,0.06947000288868074,0.06233548341119085,0.08082633315096835,0.0619285907072691,0.0938986582092832,0.0621998525098836,0.08604177223508692,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
IEEE-CIS temporal,lightgbm,value_capture_0.01,4,temporal fold,0.14459684199943657,0.0284194143524771,0.1358786629183913,0.13023306437905885,0.150242440538769,0.1208632216068619,0.1857668205541017,0.12524766133856094,0.17266420174135738,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
IEEE-CIS temporal,logistic,pr_auc,4,temporal fold,0.2992793812764258,0.12645773374886454,0.2979739682370522,0.2434863842765601,0.35376696523691786,0.1473521324513259,0.4538174561802729,0.19061829973577765,0.40924587585644756,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
IEEE-CIS temporal,logistic,roc_auc,4,temporal fold,0.8306600396742092,0.018274124721616908,0.8260643624836728,0.8195067474254681,0.8372176547324138,0.8143963759105112,0.8561150578189801,0.8178032902538158,0.8473888445135153,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
IEEE-CIS temporal,logistic,brier,4,temporal fold,0.03385916073006018,0.01357257820294903,0.0279059318868849,0.027136628297985077,0.03462846431896,0.0254808439763964,0.0541439351700745,0.026141459824444425,0.0475300904788512,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
IEEE-CIS temporal,logistic,logloss,4,temporal fold,0.1705288661556411,0.10808575057703403,0.11931426693591529,0.11508475460220677,0.17475837848934966,0.1109745735119173,0.3325123572388166,0.11371469423877695,0.2784979716705216,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
IEEE-CIS temporal,logistic,precision_0.005,4,temporal fold,0.5770000000000001,0.3761613129141982,0.688,0.486,0.779,0.036,0.896,0.212,0.831,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
IEEE-CIS temporal,logistic,recall_0.005,4,temporal fold,0.08496395782800267,0.05410120733501744,0.10568532869818664,0.0786512811512811,0.11199800537490823,0.0048648648648648,0.1236203090507726,0.030679624686053626,0.11852692009976776,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
IEEE-CIS temporal,logistic,value_capture_0.005,4,temporal fold,0.038557994452044775,0.025311575481884754,0.045031635127794,0.031231281782784625,0.05235834779705415,0.0027832370147158,0.0613854705378753,0.014424754481898625,0.056217593746441696,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
IEEE-CIS temporal,logistic,value_capture_0.01,4,temporal fold,0.08668261635368682,0.05420390702664201,0.1120442553720947,0.08189504604893824,0.11683182567684328,0.0056592485965889,0.116982706073969,0.03343981950022535,0.11688211914255185,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
IEEE-CIS temporal,xgboost,pr_auc,4,temporal fold,0.5318675589667332,0.04150660148229432,0.5355771279653917,0.5077684960286339,0.5596761909034909,0.4812932977899686,0.5750226821461806,0.4989434299490788,0.5647916879843875,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
IEEE-CIS temporal,xgboost,roc_auc,4,temporal fold,0.9064139340808873,0.005583634334382335,0.9057551704042142,0.9017537083077664,0.9104153961773349,0.901558981303381,0.9125864142117398,0.9016887993063045,0.9111390688554699,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
IEEE-CIS temporal,xgboost,brier,4,temporal fold,0.022137607913464277,0.0013279085791098287,0.02234815433621405,0.0213801674544811,0.023105594795197224,0.0204733908176422,0.0233807321637868,0.0210779085755348,0.02319730725139375,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
IEEE-CIS temporal,xgboost,logloss,4,temporal fold,0.0914502181112766,0.004290425797913899,0.09221521019935605,0.08928110636770722,0.09438432194292543,0.0858669951558113,0.095503456890583,0.0879030656069517,0.09475736692547795,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
IEEE-CIS temporal,xgboost,precision_0.005,4,temporal fold,0.9179999999999999,0.0285657137141714,0.928,0.915,0.931,0.876,0.94,0.889,0.9369999999999999,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
IEEE-CIS temporal,xgboost,recall_0.005,4,temporal fold,0.13350836311570513,0.012785371173875515,0.1280153222300063,0.12734784463013565,0.1341758407155758,0.1254054054054054,0.1525974025974026,0.1260628840761291,0.14644688304098005,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
IEEE-CIS temporal,xgboost,value_capture_0.005,4,temporal fold,0.07957701836719736,0.011659110741458315,0.0743068627618744,0.0735879096308411,0.08029597149823064,0.0726741914458091,0.0970201564992315,0.07318595437549776,0.0912382379642199,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
IEEE-CIS temporal,xgboost,value_capture_0.01,4,temporal fold,0.15922021431795058,0.020728479318064014,0.1535126754054405,0.1479684087468729,0.1647644809765182,0.1410780871545288,0.1887774193063925,0.14499860741586995,0.17914936013254126,256,finite empirical fold-resampling sensitivity interval; not population-level coverage
