model,policy,delay_days,calibration,pr_auc,pr_auc_sd,roc_auc,brier,logloss,cal_intercept,cal_slope,recall_005,precision_005,value_capture_005,recall_01,value_capture_01
xgboost,capped_weighted,7,raw,0.9720005354504847,0.008589005634645647,0.9992857237554632,0.0009372212613622347,0.0037217894375013807,-2.6649137139320374,0.915569340189298,0.9488967457394947,0.775457311449144,0.9805938811744621,0.9854951442934864,0.9965466240521027
xgboost,capped_weighted,14,beta,0.9722969409234676,0.008517059304142087,0.9992402165741768,0.00043706799018157955,0.0018310380352583404,0.081447617461284,1.0216388752063115,0.948736925085733,0.7752665888444549,0.9799503115811508,0.984262796205854,0.9962424942299851
xgboost,capped_weighted,14,platt,0.9722969409234676,0.008517059304142078,0.9992402165741768,0.0004360879308175451,0.0018269127419140811,0.02414708025753498,1.0141863574584324,0.948736925085733,0.7752665888444549,0.9799503115811508,0.984262796205854,0.9962424942299851
xgboost,capped_weighted,14,raw,0.9722969409234676,0.00851705930414207,0.9992402165741768,0.0009288177777004117,0.003682017015914122,-2.674606204032898,0.9176307419935862,0.948736925085733,0.7752665888444549,0.9799503115811508,0.984262796205854,0.9962424942299851
xgboost,capped_weighted,30,beta,0.9722233521406066,0.008249957906879952,0.999251423097591,0.00043710033666381304,0.001838327700776669,0.031212564868231613,1.0071829855442047,0.948310546776978,0.77494671439676,0.9798937587923008,0.9857062308616479,0.9968699030472616
xgboost,capped_weighted,30,platt,0.9722233521406066,0.008249957906879999,0.999251423097591,0.0004373117493135699,0.0018394153254727523,-0.01758249041934808,0.9922868063052496,0.948310546776978,0.77494671439676,0.9798937587923008,0.9857062308616479,0.9968699030472616
xgboost,capped_weighted,30,raw,0.9722233521406066,0.008249957906879936,0.999251423097591,0.0009202747120677183,0.0036386963135252395,-2.672192394733429,0.9157903442780176,0.948310546776978,0.77494671439676,0.9798937587923008,0.9857062308616479,0.9968699030472616
xgboost,sliding180_unweighted,0,beta,0.9468240317010483,0.01646000277365868,0.9982365076645889,0.0006247702088633863,0.00273881457784834,-0.12092575741310914,1.005332072575887,0.9221614142826202,0.7544900446927906,0.9677823683144958,0.9691584455122562,0.9912439227115505
xgboost,sliding180_unweighted,0,platt,0.9468240317010483,0.016460002773658656,0.9982365076645889,0.0006268044671742246,0.002747684329127272,-0.11341674377520879,1.0093247691790264,0.9221614142826202,0.7544900446927906,0.9677823683144958,0.9691584455122562,0.9912439227115505
xgboost,sliding180_unweighted,0,raw,0.9468240317010483,0.016460002773658635,0.9982365076645889,0.0006319828874741992,0.0028253755590412766,0.33610078878700733,0.9325041621923447,0.9221614142826202,0.7544900446927906,0.9677823683144958,0.9691584455122562,0.9912439227115505
